record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,First_year,First_month,First_day,First_date,Last_year,Last_month,Last_day,Last_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,hatchery,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin,Cleaned up release location,Cleaned up site name,LAT,LONG,Category,Bay_release,DistanceFromHatchery_in_meters,Ocean dist_FINAL,Excl,Notes,dist_hatch,dist_ocean
T,4.1,20140604,FWS,FWS,7,54397,12,,,,,1,3,2007,20080602,2008,6,2,39601,2008,6,5,39604,6MOSFSPB NET,6FCSABAT CNFH,6FCSABAT CNFH,S,H,B,FR,83,N,5000,109178,,,5000,1694,0,332891,C,0.0153,42,851,,"Off site release - trucked to delta, Conoco Phillips Resub 6.4.14",SAN PABLO BAY NET PENS,COLEMAN NFH,coleman,COLEMAN NFH,CA,CECA,SFBA,N,San Pablo Bay,Conoco Phillips Dock,38.0567,-122.2604,BAY,BAY,481246,39733,,,0.481246,0.039733
T,4.1,20140221,FWS,FWS,7,54394,12,,,,,1,3,2007,20080527,2008,5,27,39595,2008,5,29,39597,6MOSFSPB NET,6FCSABAT CNFH,6FCSABAT CNFH,S,H,B,FR,88,N,5000,113845,,,0,341838,,,C,,52,848,,"Resub2.21.14Off site release-trucked to delta,San Pablo Bay at Mare Island",SAN PABLO BAY NET PENS,COLEMAN NFH,coleman,COLEMAN NFH,CA,CECA,SFBA,N,San Pablo Bay,Conoco Phillips Dock,38.0567,-122.2604,BAY,BAY,481246,39733,,,0.481246,0.039733
T,4.1,20140604,FWS,FWS,7,54392,12,,,,,1,3,2007,20080519,2008,5,19,39587,2008,5,21,39589,6MOSFSPB NET,6FCSABAT CNFH,6FCSABAT CNFH,S,H,B,FR,82,N,5000,91718,,,5000,137,0,275880,C,0.0015,63,671,,"Off site release - trucked to delta, Conoco Phillips Resub 6.4.14",SAN PABLO BAY NET PENS,COLEMAN NFH,coleman,COLEMAN NFH,CA,CECA,SFBA,N,San Pablo Bay,Conoco Phillips Dock,38.0567,-122.2604,BAY,BAY,481246,39733,,,0.481246,0.039733
T,4.1,20140604,FWS,FWS,7,54870,12,,,,,1,3,2008,20090514,2009,5,14,39947,2009,5,15,39948,6MOSFSPB NET,6FCSABAT CNFH,6FCSABAT CNFH,S,H,B,FR,90,N,5000,126145,,,0,378820,,,C,0,31,408,,Production resubmitted 6.4.14,SAN PABLO BAY NET PENS,COLEMAN NFH,coleman,COLEMAN NFH,CA,CECA,SFBA,N,San Pablo Bay,Conoco Phillips Dock,38.0567,-122.2604,BAY,BAY,481246,39733,,,0.481246,0.039733
T,4.1,20140604,FWS,FWS,7,54871,12,,,,,1,3,2008,20090513,2009,5,13,39946,2009,5,15,39948,6MOSFSPB NET,6FCSABAT CNFH,6FCSABAT CNFH,S,H,B,FR,88,N,5000,137800,0,353,5000,353,0,415712,C,0.0026,29,392,,Production resubmitted 6.4.14,SAN PABLO BAY NET PENS,COLEMAN NFH,coleman,COLEMAN NFH,CA,CECA,SFBA,N,San Pablo Bay,Conoco Phillips Dock,38.0567,-122.2604,BAY,BAY,481246,39733,,,0.481246,0.039733
T,4.1,20140604,FWS,FWS,7,54879,12,,,,,1,3,2008,20090512,2009,5,12,39945,2009,5,13,39946,6MOSFSPB NET,6FCSABAT CNFH,6FCSABAT CNFH,S,H,B,FR,90,N,5000,107781,,,5000,267,0,324437,C,0.0025,41,404,,"76130tag,228755notagConPhil5/1231862T95738NTMareIs5/13resub6.4.14",SAN PABLO BAY NET PENS,COLEMAN NFH,coleman,COLEMAN NFH,CA,CECA,SFBA,N,San Pablo Bay,Conoco Phillips Dock,38.0567,-122.2604,BAY,BAY,481246,39733,,,0.481246,0.039733
T,4.1,20140616,FWS,FWS,7,55184,12,,,,,1,3,2009,20100519,2010,5,19,40317,2010,5,20,40318,6MOSFSPB NET,6FCSABAT CNFH,6FCSABAT CNFH,S,H,B,FR,93,N,5000,114091,,,0,347008,,,C,0.01,27,801,,171330 Mare Isl 5/19 & 289769 Cono-Phips 5/20 RESB 6.4/16.14,SAN PABLO BAY NET PENS,COLEMAN NFH,coleman,COLEMAN NFH,CA,CECA,SFBA,N,San Pablo Bay,Conoco Phillips Dock,38.0567,-122.2604,BAY,BAY,481246,39733,,,0.481246,0.039733
T,4.1,20140616,FWS,FWS,7,55196,12,,,,,1,3,2009,20100518,2010,5,18,40316,2010,5,19,40317,6MOSFSPB NET,6FCSABAT CNFH,6FCSABAT CNFH,S,H,B,FR,93,N,5000,105240,,,0,316941,,,C,0.0025,22,402,,204820 rel 5/18/10 & 217361 rel 5/19/10 RESUB 6.4.14 &6.16,SAN PABLO BAY NET PENS,COLEMAN NFH,coleman,COLEMAN NFH,CA,CECA,SFBA,N,San Pablo Bay,Conoco Phillips Dock,38.0567,-122.2604,BAY,BAY,481246,39733,,,0.481246,0.039733
T,4.1,20140616,FWS,FWS,7,55187,12,,,,,1,3,2009,20100517,2010,5,17,40315,2010,5,18,40316,6MOSFSPB NET,6FCSABAT CNFH,6FCSABAT CNFH,S,H,P,FR,93,N,5000,118588,0,309,0,356835,,,C,0.0026,20,385,,293294 rel 5/17/10 & 182438 rel 5/18/10 RESUB 6.4.14/6.16.14,SAN PABLO BAY NET PENS,COLEMAN NFH,coleman,COLEMAN NFH,CA,CECA,SFBA,N,San Pablo Bay,Conoco Phillips Dock,38.0567,-122.2604,BAY,BAY,481246,39733,,,0.481246,0.039733
T,4.1,20140616,FWS,FWS,7,55391,12,,,,,1,3,2010,20110525,2011,5,25,40688,2011,5,26,40689,6MOSFSPB NET,6FCSABAT CNFH,6FCSABAT CNFH,P,H,B,FR,86,N,5000,118990,,,0,357168,,,C,0,30,383,,"Off-st relse; 338,837 rel  5/25/10  137,321 rel  5/26/10 Resub 6.4/16",SAN PABLO BAY NET PENS,COLEMAN NFH,coleman,COLEMAN NFH,CA,CECA,SFBA,N,San Pablo Bay,Conoco Phillips Dock,38.0567,-122.2604,BAY,BAY,481246,39733,,,0.481246,0.039733
