watershed,month,year,baseline,max_eff,habitat_type,proportion_change
Upper Sacramento River,1,1979,63.35978550321776,78.04136271464702,spawning,0.2317175964979183
Upper Sacramento River,2,1979,63.28342660300323,78.04136271464702,spawning,0.23320380870373775
Upper Sacramento River,3,1979,63.126689913089166,78.04136271464702,spawning,0.23626571933506899
Upper Sacramento River,4,1979,61.93833308324854,89.45576287534323,spawning,0.44427139740925453
Upper Sacramento River,5,1979,66.2519663239584,338.9871937477019,spawning,4.1166359665481425
Upper Sacramento River,6,1979,41.76573374687033,338.9871937477019,spawning,7.116395028570604
Upper Sacramento River,7,1979,33.88404820787763,338.9871937477019,spawning,9.004329815257773
Upper Sacramento River,8,1979,58.78113810638973,315.4237475008357,spawning,4.366070778179573
Upper Sacramento River,9,1979,66.01568907414554,315.4237475008357,spawning,3.7780118926967106
Upper Sacramento River,10,1979,65.34180678376212,343.3691416948747,spawning,4.254968581312696
Upper Sacramento River,11,1979,65.27619774065495,335.5617370843854,spawning,4.140644656074886
Upper Sacramento River,12,1979,64.98607400475755,335.5617370843854,spawning,4.16359454272956
Upper Sacramento River,1,1980,15.750086190436923,36.71138985926659,spawning,1.330869140357903
Upper Sacramento River,2,1980,7.782248455432792,36.71138985926659,spawning,3.7173243143680854
Upper Sacramento River,3,1980,62.849386538625815,36.71138985926659,spawning,-0.4158830836526209
Upper Sacramento River,4,1980,61.93833308324854,38.8779882317468,spawning,-0.37231135717694186
Upper Sacramento River,5,1980,64.22923963396063,225.61357068895924,spawning,2.51263025959392
Upper Sacramento River,6,1980,51.87013422044984,225.61357068895924,spawning,3.349585249386359
Upper Sacramento River,7,1980,45.76067792531891,225.61357068895924,spawning,3.930293451009597
Upper Sacramento River,8,1980,54.703760047275395,315.4237475008357,spawning,4.76603413052858
Upper Sacramento River,9,1980,67.28218557129902,315.4237475008357,spawning,3.6880722560146437
Upper Sacramento River,10,1980,66.96292669726914,343.3691416948747,spawning,4.127749915221043
Upper Sacramento River,11,1980,48.74232555783456,335.5617370843854,spawning,5.884401456927391
Upper Sacramento River,12,1980,63.28342660300323,335.5617370843854,spawning,4.302521609480304
Upper Sacramento River,1,1981,63.339691055792876,78.04136271464702,spawning,0.2321083575526782
Upper Sacramento River,2,1981,63.227162150213566,78.04136271464702,spawning,0.23430120949028577
Upper Sacramento River,3,1981,62.5088211324362,78.04136271464702,spawning,0.24848559452596825
Upper Sacramento River,4,1981,61.93833308324854,89.45576287534323,spawning,0.44427139740925453
Upper Sacramento River,5,1981,57.424297052493074,338.9871937477019,spawning,4.903201452127915
Upper Sacramento River,6,1981,30.14939483410665,338.9871937477019,spawning,10.24358202255592
Upper Sacramento River,7,1981,27.36390436063047,338.9871937477019,spawning,11.388114988276897
Upper Sacramento River,8,1981,53.55700811738647,315.4237475008357,spawning,4.889495298346178
Upper Sacramento River,9,1981,65.87692186490548,315.4237475008357,spawning,3.7880765914910017
Upper Sacramento River,10,1981,65.79366642269403,343.3691416948747,spawning,4.218878356601774
Upper Sacramento River,11,1981,32.32645908865892,335.5617370843854,spawning,9.380404985404368
Upper Sacramento River,12,1981,11.400143068435748,335.5617370843854,spawning,28.43487069153326
Upper Sacramento River,1,1982,55.79184529763283,36.71138985926659,spawning,-0.34199362535111916
